experiment,hour,date,device_make,browser,awareness
1,2,2,4,2,0
1,16,1,13,1,1
1,8,3,13,1,0
0,4,5,43,4,1
0,15,0,13,1,0
1,2,7,13,1,0
0,15,0,13,1,1
1,6,2,19,2,0
0,15,0,13,1,0
1,14,0,13,1,0
0,15,0,24,4,0
1,13,6,65,4,1
1,20,6,25,2,0
1,6,2,13,1,1
1,20,5,13,1,0
0,2,3,87,2,0
0,16,1,13,1,1
0,15,0,42,7,0
1,8,6,13,1,0
0,20,6,64,4,1
1,11,1,76,2,1
1,19,2,13,1,0
1,5,7,13,1,0
1,2,2,13,2,1
0,15,4,13,1,1
0,15,0,72,4,0
0,15,0,5,4,1
1,1,6,13,1,1
0,18,5,13,1,1
1,0,2,13,2,0
1,20,6,66,7,0
0,19,1,13,1,1
0,22,5,13,1,0
1,20,5,13,2,1
1,6,5,13,1,1
0,15,0,13,1,1
0,19,2,13,1,0
1,6,2,68,4,0
1,3,4,94,7,0
1,15,7,13,1,1
1,20,5,13,1,1
1,20,5,13,1,1
1,19,6,103,4,0
0,15,0,13,1,0
1,21,5,13,1,1
1,21,2,13,1,1
0,10,2,68,4,1
1,5,1,68,2,0
0,15,0,13,1,0
0,14,5,13,1,1
1,22,5,13,1,0
0,8,3,54,4,0
0,15,0,43,2,1
1,21,5,47,2,1
0,15,0,21,1,1
1,21,5,13,2,0
1,0,1,46,2,1
1,3,2,13,1,1
1,16,7,13,1,0
1,2,7,66,4,0
0,15,0,66,2,1
0,15,0,1,4,0
1,16,5,13,1,1
0,2,6,13,1,0
0,15,0,13,1,1
1,0,6,54,7,0
1,14,6,13,1,0
0,15,0,33,4,0
1,8,6,13,1,0
0,15,0,72,7,0
1,6,6,48,7,1
0,15,0,13,1,0
0,15,0,68,7,1
0,15,0,13,1,0
0,0,2,13,1,1
0,12,6,13,1,1
0,15,2,13,1,0
1,14,6,13,2,1
0,12,7,13,1,0
0,21,1,54,4,0
0,22,5,66,4,1
1,10,0,13,1,0
0,3,4,13,1,1
0,13,7,72,7,1
1,8,0,44,2,1
0,2,7,51,7,0
0,9,7,13,1,0
0,15,0,64,4,1
1,17,5,13,1,0
1,9,0,13,2,1
0,15,0,13,1,0
1,15,5,13,2,1
0,15,6,13,1,0
1,0,0,13,1,0
1,17,7,13,1,1
0,15,0,13,1,1
0,15,0,13,1,0
0,10,2,13,1,0
1,16,6,13,1,0
1,12,7,13,1,0
1,19,6,13,1,1
0,15,0,56,2,1
1,9,1,13,1,1
0,15,0,81,7,0
1,11,2,13,2,0
0,5,7,13,1,1
0,15,0,29,4,1
0,15,0,13,1,0
0,15,0,40,4,0
1,10,1,13,1,0
0,15,0,81,7,1
1,6,6,19,2,0
1,5,7,25,2,0
1,19,6,14,1,0
1,16,1,88,2,1
0,15,0,13,1,1
1,1,0,13,1,0
0,19,0,114,5,0
0,8,4,13,2,0
1,15,7,61,2,1
1,12,0,104,4,0
0,15,0,111,2,0
1,19,2,13,1,0
0,14,6,13,1,0
0,15,0,13,1,1
1,9,1,13,1,0
1,0,3,33,2,1
1,7,3,76,4,0
1,17,5,13,1,1
0,8,3,51,2,0
0,10,6,13,1,0
1,3,3,13,1,0
0,3,3,26,1,1
1,20,5,13,1,0
0,16,4,33,4,0
1,5,5,6,4,0
0,15,0,18,0,0
0,15,0,43,7,0
1,23,4,13,1,1
0,20,5,13,1,0
1,17,5,67,2,0
1,8,2,13,1,0
1,7,5,58,7,0
0,16,5,13,1,1
0,15,0,13,1,1
1,22,2,51,2,0
1,16,1,13,1,1
1,2,6,66,2,1
0,15,0,66,4,1
1,16,1,61,2,0
1,13,6,13,1,0
1,20,4,47,2,1
0,4,2,13,1,1
1,8,6,13,1,1
1,14,1,68,2,1
1,8,1,27,2,1
1,16,5,13,1,0
0,15,0,13,1,0
1,0,7,13,1,1
1,8,0,114,5,0
0,15,0,13,1,0
0,4,2,68,4,0
0,15,1,64,7,0
1,1,3,48,2,1
0,3,1,86,7,1
1,6,0,27,2,1
0,15,0,73,7,1
1,16,1,13,1,1
0,15,0,103,4,0
0,15,0,13,1,1
0,15,7,13,4,1
1,13,2,69,7,1
1,7,0,22,2,0
0,16,7,13,1,1
1,9,6,13,2,0
1,13,6,27,2,1
0,15,0,13,1,0
1,5,6,13,1,1
1,7,2,13,1,0
1,2,1,13,1,0
1,6,1,13,1,1
0,15,0,64,2,1
1,22,6,13,1,1
1,2,0,26,1,0
1,18,5,66,2,0
0,15,0,13,1,1
0,15,0,13,1,1
1,4,2,23,2,0
0,7,7,66,4,0
0,20,4,13,1,1
1,18,5,62,2,1
0,15,6,46,7,0
1,2,7,27,2,0
0,15,0,2,1,0
1,9,7,13,1,0
0,6,6,13,1,1
0,22,6,13,1,1
0,15,0,83,7,0
1,11,7,41,7,1
0,9,7,66,2,0
1,20,5,13,1,1
0,5,2,13,1,0
0,18,6,13,1,0
0,15,0,71,7,0
1,16,2,13,2,0
1,6,6,13,1,0
0,9,7,13,1,1
0,8,3,13,1,1
0,15,0,13,1,0
1,7,6,77,4,1
1,3,6,13,1,1
0,15,0,65,7,1
1,10,0,13,1,1
1,14,1,13,1,1
0,15,0,72,4,0
1,15,5,104,4,0
0,15,0,54,4,0
1,8,3,13,1,1
1,17,5,21,2,1
1,1,7,13,1,0
0,15,0,54,4,1
0,15,0,36,4,1
1,8,2,90,2,1
0,3,1,13,1,0
0,19,5,13,1,0
1,15,5,13,1,1
1,11,4,13,1,0
1,9,6,13,1,1
1,14,6,13,1,1
0,9,1,13,1,0
0,6,1,13,1,0
0,2,1,13,1,1
0,3,7,13,1,0
1,13,6,13,4,0
1,12,2,13,1,0
1,19,5,68,7,1
0,6,4,13,1,0
0,15,0,13,4,1
1,20,4,94,2,0
0,6,7,13,1,1
1,15,2,66,2,1
1,19,1,13,1,1
1,9,0,13,1,1
1,11,6,13,1,0
0,2,3,13,4,0
1,1,7,17,1,0
0,8,2,60,7,0
1,3,3,13,1,0
0,3,4,82,4,0
0,18,5,13,1,0
1,16,5,42,2,0
0,18,5,13,1,0
1,15,5,13,2,0
0,15,0,55,4,1
0,0,7,26,1,1
1,4,6,73,2,0
1,0,0,13,1,0
0,5,2,13,1,0
1,6,7,5,2,1
1,1,3,13,1,0
1,7,0,13,1,0
0,14,1,13,1,0
1,3,3,71,7,1
1,7,0,13,1,0
1,1,0,81,7,0
1,10,6,13,1,1
1,7,1,13,1,0
0,10,6,19,4,0
0,15,0,33,4,1
0,8,6,13,1,0
0,10,7,12,4,0
1,10,0,72,7,0
0,10,2,13,1,1
1,8,7,73,2,1
0,15,0,13,1,1
0,15,0,66,4,1
0,18,2,79,1,0
0,20,1,71,4,1
1,17,2,13,1,0
1,14,1,13,1,1
0,10,4,13,1,0
1,8,6,13,1,0
1,6,6,68,7,1
0,7,5,13,1,0
1,21,6,113,2,1
1,13,5,13,1,1
0,8,1,13,1,1
1,5,6,13,1,0
1,19,5,13,1,0
0,14,6,13,1,0
0,5,2,13,1,0
1,6,6,13,1,1
1,13,1,66,4,0
0,11,6,13,1,1
0,15,0,13,1,1
1,18,6,68,2,1
1,10,1,13,1,1
1,20,5,85,7,0
1,10,2,13,1,0
0,8,1,110,4,0
1,18,5,13,1,0
1,9,0,13,2,0
1,9,3,13,1,0
1,3,7,13,2,0
0,12,7,1,4,1
0,8,4,67,2,1
1,15,5,39,4,0
0,19,6,97,4,0
0,6,7,72,2,1
1,2,1,13,2,0
1,7,3,68,7,0
0,10,4,13,1,1
1,16,1,65,7,0
0,21,5,21,1,1
0,15,0,13,1,0
0,12,6,42,1,0
1,12,2,13,1,0
0,2,7,13,1,1
0,15,0,13,1,0
1,10,0,87,7,1
0,15,0,13,1,0
0,15,0,13,1,1
0,15,0,13,1,0
0,2,5,13,1,0
1,2,4,13,1,0
1,8,6,13,2,0
1,17,4,75,7,0
0,15,0,1,4,1
1,8,1,13,1,0
1,16,5,13,2,0
0,4,7,13,1,1
0,4,6,26,1,0
1,10,6,65,4,0
0,15,0,78,4,1
1,7,2,21,2,0
0,21,5,47,4,1
0,15,0,47,7,1
1,15,6,13,1,0
1,10,0,73,2,0
0,15,0,13,1,1
1,0,2,13,1,1
0,0,6,13,1,0
1,0,6,13,1,0
1,11,7,13,1,0
1,16,5,13,1,1
0,5,7,43,7,0
1,4,1,13,2,0
1,8,2,13,1,0
0,15,0,51,4,0
1,15,5,13,1,0
1,3,7,13,1,0
1,12,2,18,0,1
0,8,7,54,7,1
0,1,2,41,7,0
0,15,7,13,1,0
1,7,0,13,1,1
1,8,6,24,2,0
0,7,6,79,4,0
1,18,5,70,4,0
1,8,0,13,1,0
1,6,0,54,7,1
0,22,5,13,1,1
0,17,4,13,1,1
1,1,0,13,1,1
1,3,1,13,1,0
0,15,0,68,4,0
1,14,6,27,2,0
1,11,6,13,1,0
1,17,5,13,1,1
1,10,1,61,2,0
0,16,7,46,7,1
0,15,0,114,5,0
0,15,0,114,6,0
1,3,3,13,1,0
0,8,5,72,4,1
0,19,1,13,1,0
0,15,0,13,1,0
1,16,6,13,1,0
1,19,4,68,7,1
1,7,0,13,1,0
1,16,6,75,2,1
1,16,6,13,1,0
0,15,0,13,1,0
0,15,0,13,1,1
1,9,2,27,2,1
1,0,4,25,2,0
1,6,3,13,1,1
0,15,0,13,1,0
1,10,3,13,1,1
1,6,3,13,1,1
1,5,0,13,2,1
0,15,0,13,1,0
0,15,0,13,1,0
0,15,0,71,7,1
1,13,2,13,1,1
0,3,4,13,1,0
0,13,1,13,1,0
1,9,0,13,1,0
0,0,3,105,2,0
1,11,2,13,1,1
1,12,6,13,1,0
0,14,5,13,1,0
1,23,1,13,1,1
0,1,6,13,1,1
0,15,0,46,7,1
0,15,0,13,1,1
1,14,0,13,1,0
0,10,6,72,4,0
1,8,2,68,7,0
1,18,4,13,1,0
1,14,5,13,1,1
0,15,0,13,1,0
0,11,2,13,1,1
0,15,0,13,1,1
1,7,6,13,1,1
1,21,5,21,1,1
1,15,2,42,7,0
1,17,6,13,1,0
0,14,7,13,1,0
1,7,5,94,2,0
1,15,5,13,1,1
0,19,5,13,1,0
0,15,0,13,1,1
1,15,5,13,1,0
1,9,4,13,1,1
1,22,4,13,1,1
1,3,4,72,7,0
0,15,0,72,4,1
0,9,6,13,1,0
0,16,5,47,7,1
0,3,1,13,1,0
1,18,5,13,1,0
1,11,0,13,1,0
1,22,5,68,4,0
0,15,0,13,1,1
1,10,0,13,1,1
1,4,7,64,2,1
1,8,2,68,1,0
1,16,1,13,1,0
0,15,0,64,7,1
1,8,0,13,1,1
1,11,2,46,7,0
1,6,1,13,1,1
1,15,5,13,1,0
1,6,2,13,1,0
1,14,1,2,4,0
1,10,1,13,1,1
1,9,3,13,1,0
1,9,1,13,1,1
1,17,1,13,1,0
0,12,1,13,2,0
1,12,7,41,7,0
1,16,7,13,1,0
1,14,4,13,2,0
0,11,1,66,7,1
1,12,6,13,1,1
0,13,6,68,4,0
0,8,4,13,1,1
1,19,1,13,1,0
0,15,0,13,1,0
1,20,6,54,4,0
0,14,5,51,4,0
0,10,6,68,4,1
1,11,6,13,1,0
0,15,0,13,1,1
1,8,0,13,1,1
1,12,0,13,1,0
0,3,1,114,5,1
0,15,0,41,7,1
0,14,5,68,7,0
1,10,2,72,2,1
0,15,0,13,1,0
0,14,1,53,7,1
1,0,2,13,1,0
0,12,6,13,1,1
1,10,0,13,1,0
1,11,0,13,1,0
0,15,0,13,1,1
0,15,0,24,4,1
0,15,0,13,1,0
1,8,0,13,1,0
0,5,3,13,1,0
0,15,0,13,1,0
1,4,6,43,2,0
0,15,0,13,1,0
1,9,2,86,7,1
1,4,1,13,1,0
1,18,5,13,1,1
0,7,1,71,7,0
0,4,7,13,1,0
1,10,3,93,4,1
0,15,0,23,4,0
1,20,5,100,2,1
1,15,7,13,1,0
1,8,0,13,1,0
0,8,1,68,4,1
0,15,0,45,7,1
0,15,1,72,4,1
0,15,0,72,4,1
0,15,0,13,1,0
1,10,0,47,2,0
1,4,3,13,1,1
1,5,2,66,2,1
1,11,1,26,1,1
0,21,1,13,1,1
1,9,0,92,2,0
1,5,5,13,1,1
0,15,0,13,1,1
0,18,2,68,4,1
0,11,1,13,1,1
0,9,4,13,1,1
0,18,5,74,4,0
0,15,0,13,1,1
0,4,7,13,1,1
1,11,2,13,1,0
0,18,6,71,7,1
1,10,2,13,1,0
0,6,1,13,1,0
0,4,2,73,2,1
0,15,0,64,7,1
0,15,0,13,1,1
1,8,5,13,1,0
1,4,3,13,1,1
0,15,0,13,1,0
0,0,1,108,4,1
0,5,1,27,1,0
0,2,1,13,1,0
0,15,0,13,1,0
0,16,6,95,4,0
0,15,0,13,1,0
0,6,3,76,7,1
1,11,0,13,1,0
0,20,5,13,1,0
1,6,1,5,4,1
0,20,5,5,4,0
0,17,7,6,4,1
0,5,4,13,1,0
0,13,5,73,4,0
0,15,0,64,7,0
1,7,3,13,1,0
1,4,7,13,1,1
1,13,0,13,1,1
1,15,1,13,1,0
1,17,6,49,2,1
0,15,0,13,1,1
1,15,1,13,2,0
1,7,6,13,1,1
0,15,0,66,4,0
0,14,2,23,4,1
1,8,3,13,1,0
1,7,3,13,1,0
0,22,6,13,2,1
0,20,1,81,7,0
1,8,1,13,2,0
0,16,7,13,1,0
0,8,3,43,7,1
0,15,0,13,1,1
0,12,1,27,4,0
1,3,2,114,5,1
0,8,7,72,2,1
1,15,7,66,7,0
0,10,3,13,1,1
1,3,1,26,1,1
1,2,7,13,1,0
0,2,6,13,1,0
1,22,4,13,1,1
1,7,0,13,2,1
1,7,2,73,7,1
1,19,5,13,1,0
1,19,6,42,7,0
1,21,5,66,4,0
1,0,0,13,1,1
1,17,6,13,1,1
0,15,0,87,7,0
1,3,0,73,2,1
1,21,6,73,7,0
0,1,3,23,4,0
1,13,0,56,2,1
0,5,1,13,1,1
0,13,4,13,1,0
1,7,2,13,2,0
1,13,2,66,7,0
0,5,2,2,2,0
1,12,5,13,1,1
0,17,6,13,1,1
1,8,3,66,2,0
0,9,1,13,1,0
0,18,5,13,1,0
0,17,5,13,1,1
1,13,7,44,2,0
1,14,4,68,7,0
1,18,6,13,1,0
1,5,3,48,7,0
0,21,2,13,1,0
0,15,5,13,1,1
0,15,0,13,1,0
1,9,4,13,1,1
1,9,0,13,1,0
0,0,4,13,1,0
1,11,6,33,2,0
1,22,5,75,4,0
0,15,7,42,7,1
0,15,0,50,2,0
0,15,2,13,1,1
1,13,5,13,1,0
1,6,1,34,2,0
0,7,7,13,1,0
0,15,0,13,1,0
1,10,1,69,4,1
1,14,6,13,1,0
0,19,5,13,1,1
0,15,0,13,1,1
1,6,2,13,1,1
0,15,0,13,1,0
0,18,5,43,7,1
1,2,3,13,1,1
1,14,7,13,4,1
1,8,0,62,2,1
1,10,6,13,1,0
