experiment,hour,date,device_make,browser,awareness
1,16,5,13,1,1
1,3,5,13,1,0
1,5,5,114,5,0
1,12,6,13,1,0
0,6,1,68,4,1
0,9,3,13,1,0
0,0,7,66,4,0
0,20,6,13,1,1
1,7,7,13,1,0
1,7,7,15,1,1
0,16,5,64,2,1
0,15,0,13,1,1
1,16,2,13,1,1
1,15,7,13,1,1
1,10,3,19,2,1
1,1,7,13,1,0
1,9,0,0,2,1
1,14,7,94,7,0
1,14,1,13,1,0
1,18,6,81,7,1
1,14,1,13,1,0
0,15,0,46,7,0
0,15,0,93,2,0
1,5,6,13,1,0
1,1,7,13,1,0
0,7,2,13,1,1
1,7,2,13,1,0
0,15,5,47,7,0
1,18,5,13,1,0
1,10,1,21,1,1
1,20,5,13,1,1
1,10,1,13,1,0
1,22,5,13,1,1
1,9,1,48,7,0
1,9,4,61,7,0
0,21,6,13,1,1
1,4,4,13,1,0
1,15,5,24,1,1
0,13,6,77,2,0
0,15,0,48,4,1
1,5,0,13,1,1
0,15,0,72,7,0
1,10,0,9,2,0
1,5,3,13,1,0
1,10,2,19,2,0
0,11,1,13,1,0
1,15,6,13,2,1
1,15,7,13,1,1
0,15,0,13,1,0
1,1,3,13,1,0
0,15,0,13,1,0
1,4,2,13,1,0
0,15,0,13,1,0
1,5,5,13,1,1
1,14,5,13,1,1
0,15,0,68,2,0
1,9,0,43,2,1
0,15,0,13,1,1
0,10,4,22,2,0
1,12,5,59,2,0
0,15,0,13,1,1
1,14,4,13,1,1
1,1,6,13,1,0
1,4,3,13,1,0
1,10,1,1,2,0
1,1,7,58,2,0
0,4,4,13,1,0
1,12,4,13,1,1
0,20,5,13,1,0
0,4,6,13,1,1
0,4,1,13,1,0
1,0,7,13,2,1
0,14,7,114,6,0
1,12,7,13,1,0
1,7,5,47,2,0
0,14,6,13,1,1
0,15,7,68,4,1
0,12,6,66,4,1
0,7,2,74,4,1
0,7,7,13,2,0
0,12,1,114,5,0
1,21,4,13,1,0
1,17,4,50,2,0
0,15,0,75,4,0
1,19,5,13,2,0
1,21,4,42,4,1
0,15,0,23,4,0
1,6,1,13,1,0
1,11,1,66,2,1
1,11,1,13,1,0
0,22,1,21,4,1
0,1,6,83,7,1
1,16,6,69,7,0
1,14,1,88,2,1
1,18,5,26,1,1
1,20,4,13,1,1
0,2,2,13,1,0
0,15,0,13,1,0
1,4,2,13,1,0
1,19,1,13,1,1
0,17,1,13,1,1
0,8,7,64,2,1
1,7,7,13,1,0
0,15,0,68,4,0
0,1,3,114,5,0
0,15,0,13,1,1
1,2,7,13,1,0
0,15,0,13,1,1
0,1,6,13,1,0
0,1,6,20,1,1
1,5,4,13,1,0
1,17,5,61,2,1
1,3,6,13,1,0
1,14,4,46,7,0
1,18,5,13,1,1
0,15,0,68,4,0
1,20,5,13,1,1
0,4,3,13,1,1
1,20,5,13,1,0
0,21,2,13,1,1
1,15,1,13,1,0
0,3,7,102,2,0
0,10,3,13,1,0
0,15,0,13,1,1
1,14,1,69,2,1
0,6,4,13,1,1
1,19,5,68,2,1
0,15,0,13,1,1
1,22,5,13,1,0
1,6,4,48,2,0
1,20,6,2,4,0
1,11,1,13,1,1
1,23,6,13,1,1
0,7,3,13,1,0
1,14,2,13,1,1
0,11,1,52,7,1
0,17,1,13,1,0
0,15,0,68,2,0
1,6,3,13,1,1
0,18,5,13,1,0
1,18,5,66,2,1
0,15,0,13,1,1
0,15,0,21,2,0
1,5,0,109,2,1
1,18,5,66,2,1
0,9,7,13,1,1
1,7,6,68,2,1
1,19,5,13,1,1
0,7,3,27,2,1
0,12,2,13,1,0
1,1,4,68,2,0
1,3,7,13,1,1
1,19,1,65,7,0
0,15,0,13,1,1
1,19,4,13,1,1
1,7,2,38,2,0
1,5,1,13,1,1
0,11,6,87,7,0
0,15,7,41,7,1
1,11,4,13,1,0
1,4,7,19,4,0
0,5,6,68,2,1
0,15,0,13,1,0
0,8,1,13,1,1
1,13,1,10,2,1
0,15,0,68,7,1
0,15,0,47,7,0
0,15,0,13,1,1
1,4,5,13,1,1
0,9,6,114,5,1
0,15,0,64,7,0
1,11,0,13,4,1
1,18,6,13,1,0
0,11,7,13,1,0
1,4,7,13,1,1
1,12,0,13,1,0
1,17,6,69,2,1
0,5,7,36,4,1
1,7,2,13,1,0
0,15,0,13,1,0
0,7,7,66,2,0
1,22,6,53,2,1
0,21,4,13,1,0
0,5,2,13,1,1
1,14,2,13,1,1
1,0,7,73,4,1
0,15,0,114,5,0
1,16,5,13,1,1
1,21,5,66,2,1
1,14,0,65,2,0
1,15,5,13,1,1
1,6,6,13,1,0
0,17,5,13,1,0
1,12,1,44,4,0
0,9,6,42,7,1
0,19,5,42,7,1
1,12,6,13,1,0
0,15,0,13,1,1
1,9,4,13,4,0
1,17,5,13,1,0
1,11,6,13,1,1
1,13,1,13,1,0
0,21,4,13,1,1
0,12,7,21,1,1
1,21,5,13,1,0
1,5,7,13,1,0
1,17,5,13,1,0
0,16,2,67,4,1
1,16,5,13,1,1
1,5,5,35,2,0
0,15,0,47,7,1
1,7,5,13,1,1
0,13,7,13,1,0
1,12,1,13,1,0
1,6,4,13,2,1
1,5,2,13,1,1
1,3,0,68,2,0
1,10,3,66,2,0
0,15,0,7,2,0
1,7,1,30,2,1
1,6,1,66,2,0
0,15,0,60,7,0
1,17,6,47,7,0
0,4,3,13,1,0
1,2,0,13,1,1
0,11,6,43,7,1
1,15,5,13,1,1
0,22,5,72,4,0
1,11,0,48,2,0
1,13,1,13,1,1
1,12,4,13,1,0
1,2,0,13,1,1
1,20,5,13,1,1
0,15,0,13,1,0
1,21,6,13,1,0
0,15,0,13,1,1
1,3,6,13,1,1
1,7,0,98,2,1
0,0,3,36,4,1
0,15,0,69,4,0
1,20,5,13,1,1
0,15,0,42,1,1
0,8,4,81,7,0
0,18,6,13,1,0
0,15,0,13,1,0
0,14,5,43,2,0
1,13,0,13,1,1
1,19,5,13,1,0
0,14,4,13,1,0
1,12,2,68,4,1
1,6,7,13,1,1
0,15,0,13,1,0
1,13,6,37,2,1
0,9,1,65,4,0
1,18,2,13,1,1
1,2,4,72,7,0
0,0,7,68,4,0
1,14,5,68,2,1
1,10,6,13,1,0
1,18,5,87,2,0
1,0,5,13,1,0
0,13,5,13,1,1
0,15,0,13,1,0
1,1,4,97,2,1
1,12,0,48,2,0
0,15,0,13,1,0
0,11,1,21,1,1
1,2,7,13,1,1
1,15,5,38,2,0
1,0,7,13,1,0
0,13,4,13,1,1
0,0,6,48,2,1
0,12,6,13,1,0
1,17,1,13,1,0
1,6,0,13,1,1
0,11,5,93,4,0
1,6,1,41,2,0
1,4,2,13,1,0
1,5,5,13,1,0
0,15,0,47,7,0
0,3,2,13,1,1
1,0,7,43,2,1
1,16,5,13,1,1
1,8,6,13,1,1
0,15,0,13,1,1
0,15,0,13,1,0
0,15,0,78,2,0
1,15,2,13,1,1
1,9,3,13,1,1
0,6,6,13,1,0
1,17,1,73,7,1
0,15,0,13,1,1
0,1,1,13,1,0
0,15,0,62,2,0
1,19,5,13,1,1
0,20,1,13,1,1
1,13,6,13,1,0
1,22,5,13,1,0
1,9,6,13,1,0
1,15,7,13,1,0
1,16,5,43,2,0
0,15,0,13,1,0
1,4,3,13,1,1
1,6,1,69,2,1
0,9,6,43,2,1
1,10,4,13,1,1
0,11,1,13,1,1
1,20,6,13,1,1
1,12,0,31,2,1
1,2,1,1,4,1
1,20,5,13,1,1
1,10,0,71,2,1
0,10,1,3,4,0
1,8,0,60,2,1
0,12,1,13,1,0
0,15,0,13,1,0
1,7,1,13,1,1
0,19,5,13,1,0
0,15,0,54,4,1
0,19,4,13,1,1
0,15,0,42,7,0
0,17,6,13,1,0
0,15,0,13,1,0
1,9,6,13,2,1
0,15,0,114,5,0
1,8,1,86,7,1
0,15,0,13,1,0
0,3,7,13,1,0
0,15,0,13,1,1
0,15,0,13,1,0
0,16,5,13,1,1
1,3,0,13,1,0
0,5,6,68,7,1
1,13,4,13,2,1
1,9,6,25,2,0
1,9,7,13,4,1
1,20,5,79,7,1
1,3,7,13,1,0
0,12,2,77,7,0
0,10,4,64,7,1
0,18,2,13,1,0
1,12,2,13,1,1
1,22,5,13,1,0
0,8,6,13,1,0
0,10,2,68,2,0
0,13,1,52,7,0
0,4,2,13,1,0
0,5,5,13,1,0
1,7,0,13,1,1
0,10,3,13,1,1
0,21,5,13,1,1
0,11,1,114,5,0
0,19,6,68,7,1
1,9,4,13,2,1
1,21,6,68,2,1
0,1,7,33,4,1
0,13,1,13,1,0
1,16,5,69,2,1
1,9,0,13,1,0
1,6,3,13,1,1
1,5,3,81,7,0
0,19,6,13,1,0
0,5,4,26,1,0
0,8,2,65,7,0
1,6,7,13,4,0
1,13,0,13,1,1
1,3,1,13,1,0
0,15,0,64,7,1
1,9,7,68,7,0
0,15,0,73,4,0
0,20,5,13,1,1
0,23,5,104,4,1
0,15,0,13,1,0
0,15,0,13,1,0
1,11,7,13,1,0
1,20,1,13,2,1
0,15,0,13,1,0
0,3,5,51,7,0
0,6,7,66,4,0
0,15,5,13,1,0
0,15,0,13,1,0
0,9,2,13,1,1
1,10,7,26,1,0
1,0,6,16,1,1
1,21,6,13,1,0
0,17,2,13,1,0
1,7,3,66,4,1
1,7,1,13,1,0
1,0,6,45,7,1
0,15,0,13,1,0
0,12,6,13,1,1
0,15,0,52,7,1
1,6,2,13,1,1
1,18,6,13,1,1
1,0,0,13,2,1
1,20,6,13,1,1
1,20,5,48,2,1
0,16,2,13,1,1
0,9,1,13,1,1
1,15,5,34,4,0
1,10,1,13,1,0
0,9,4,13,1,1
0,4,6,13,1,0
0,9,3,54,2,0
0,15,0,68,4,0
0,15,0,47,7,0
0,15,0,91,2,0
0,15,0,13,1,0
0,15,0,13,1,1
1,14,0,13,1,1
1,4,3,62,2,1
1,13,0,28,2,1
0,10,4,13,1,0
1,10,3,13,1,0
1,7,1,11,2,1
1,16,5,13,1,0
1,11,6,13,1,0
1,22,6,13,1,0
1,18,2,86,7,1
0,1,2,66,7,0
0,9,1,86,7,0
0,15,0,46,4,0
1,2,6,114,5,0
0,15,0,13,1,1
1,21,4,36,2,1
1,1,0,52,2,1
1,3,3,13,1,1
1,14,2,43,7,1
0,15,0,65,7,1
0,16,6,13,1,1
0,20,1,13,1,0
1,7,4,13,1,1
0,15,1,66,4,0
1,8,4,13,1,0
1,13,4,53,4,1
1,11,1,53,2,0
0,15,0,107,4,0
0,12,1,1,4,0
1,18,5,13,1,1
1,8,0,13,1,1
0,10,5,13,1,1
0,20,6,72,4,0
1,20,1,13,1,1
1,9,3,13,1,1
1,4,7,44,2,0
0,11,1,13,1,1
0,15,0,13,1,1
0,4,1,13,1,1
1,17,6,63,2,0
0,21,5,8,2,1
0,7,4,26,1,0
0,20,1,106,4,0
0,15,0,13,1,1
1,18,6,13,1,0
0,5,6,114,5,1
0,15,0,52,7,0
1,7,0,62,2,0
0,21,5,13,1,1
0,16,1,13,1,1
0,5,7,13,1,0
1,14,2,21,2,1
1,10,6,67,7,1
0,21,5,13,1,1
0,6,7,13,1,1
0,15,0,77,7,1
0,5,2,13,1,0
1,18,1,13,1,1
1,7,5,97,4,1
1,15,5,43,7,0
1,13,5,43,2,0
1,19,5,13,2,0
0,19,5,68,2,0
0,15,0,13,1,0
0,15,0,43,7,0
0,9,6,32,4,1
1,8,2,13,1,0
1,18,5,22,4,0
0,7,4,13,1,1
0,11,1,71,4,1
0,14,1,13,1,0
0,15,0,13,1,0
1,8,6,71,2,1
0,15,0,13,1,0
1,7,5,13,1,1
0,15,0,13,1,0
1,23,6,13,1,1
1,10,0,84,2,1
1,20,6,13,1,1
0,15,0,13,1,1
0,3,7,80,2,0
0,14,6,72,4,0
1,19,2,48,2,1
1,5,7,69,2,1
1,15,1,13,1,0
1,5,3,13,1,0
1,7,3,31,2,0
1,12,1,68,7,0
1,6,6,13,1,0
1,8,7,13,1,1
0,15,0,13,2,0
1,6,3,13,1,0
0,21,6,13,1,0
1,11,0,13,1,0
0,9,4,65,4,1
0,5,2,13,1,0
1,8,5,57,7,0
0,15,0,13,1,0
1,7,0,13,1,1
0,14,7,101,4,0
1,8,3,37,2,1
0,8,3,13,1,1
1,1,0,13,1,0
1,9,3,73,2,0
0,1,3,87,7,0
1,3,2,66,2,0
0,11,1,114,3,1
1,9,2,13,1,0
0,15,0,76,4,1
1,13,0,13,2,0
0,15,0,13,1,0
1,2,3,26,1,1
0,15,0,69,2,1
0,14,5,13,1,0
1,4,7,94,2,1
1,3,2,13,1,1
0,15,0,23,4,1
1,21,6,13,1,1
1,4,7,13,1,1
1,12,0,13,1,0
1,8,1,13,1,0
0,7,4,47,7,0
1,4,0,13,1,0
0,21,5,13,1,1
1,22,4,13,1,0
1,17,6,13,1,1
1,8,6,35,2,0
0,15,0,81,7,1
1,9,6,13,1,1
1,3,6,89,4,0
0,15,0,12,4,1
0,15,5,11,4,1
1,13,4,43,2,1
1,5,3,105,4,0
0,20,6,33,4,0
1,13,1,99,4,1
1,21,6,13,2,1
0,15,0,35,4,1
0,15,0,13,1,1
0,2,1,72,2,1
0,15,0,64,7,1
1,6,1,13,1,0
1,7,0,13,1,0
1,20,4,71,2,1
0,15,0,13,1,0
1,8,6,13,1,1
0,15,0,13,1,0
0,15,0,81,7,0
1,13,6,13,1,1
0,15,0,13,1,0
1,15,5,13,1,0
0,20,5,13,1,0
0,15,0,51,7,0
1,3,7,13,1,0
1,4,5,86,7,1
1,9,0,13,4,0
0,19,2,72,7,0
1,14,5,13,2,0
1,17,6,73,2,1
1,1,1,13,1,1
0,7,1,64,7,0
1,8,0,86,2,1
0,15,0,95,4,1
1,2,0,42,7,1
1,5,7,68,7,0
0,3,3,42,7,1
1,13,2,66,2,1
0,4,7,55,7,1
1,4,3,13,1,1
0,15,0,65,7,1
1,5,0,13,1,0
0,15,0,13,4,0
0,15,0,13,1,1
0,9,5,96,7,0
1,0,0,13,1,0
0,17,4,114,6,0
0,15,0,13,1,0
1,14,6,13,1,0
0,1,4,13,1,0
1,10,2,66,2,1
0,16,4,13,1,0
1,19,5,13,1,0
0,5,3,13,1,1
1,8,7,13,1,0
1,8,7,44,2,0
1,3,2,13,1,0
0,15,0,13,1,1
0,2,1,64,4,0
1,13,1,104,2,1
1,6,7,13,1,0
0,15,0,13,1,1
0,8,6,33,4,0
1,11,0,13,1,0
0,15,0,13,1,1
0,10,7,112,4,1
1,6,1,13,2,1
0,15,0,81,7,1
0,12,7,51,2,0
0,15,0,13,1,1
0,3,2,13,1,0
0,15,0,13,1,0
0,4,2,2,1,0
0,15,0,73,7,1
0,4,1,13,1,0
1,17,5,69,4,0
1,4,6,13,2,1
0,1,7,13,1,1
1,14,6,13,1,1
1,8,7,72,7,1
1,18,6,13,1,0
1,21,2,13,1,1
1,1,1,13,1,1
0,7,6,13,1,0
0,16,7,13,1,0
1,4,0,13,1,0
